,Query Path,SAT/UNSAT,Depths,algaroba with pause based on depth
60,../blocksworld/blocksworld_from_16_7_3_to_16_0_10_negated_goal_bmc_18.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 282, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 54, Record_left_center_right: 23, }",0.07590842247009277
61,../blocksworld/blocksworld_from_17_2_1_to_19_1_0_negated_goal_bmc_15.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 234, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T: 45, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 20, }",0.0655984878540039
62,../blocksworld/blocksworld_from_5_3_8_to_14_1_1_negated_goal_bmc_10.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 164, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P: 30, Record_left_center_right: 15, }",0.050904273986816406
63,../blocksworld/blocksworld_from_4_19_1_to_0_8_16_negated_goal_bmc_26.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 374, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X: 78, Record_left_center_right: 31, }",0.0880582332611084
64,../blocksworld/blocksworld_from_5_9_3_to_13_1_3_negated_goal_bmc_31.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 420, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q: 93, Record_left_center_right: 36, }",0.12112665176391602
65,../blocksworld/blocksworld_from_6_1_0_to_7_0_0_negated_goal_bmc_2.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 52, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G: 6, Record_left_center_right: 7, }",0.06274151802062988
66,../blocksworld/blocksworld_from_5_4_17_to_12_6_8_negated_goal_bmc_49.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 654, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X_Y_Z: 147, Record_left_center_right: 54, }",0.21153855323791504
67,../blocksworld/blocksworld_from_10_5_8_to_4_10_9_negated_goal_bmc_27.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 383, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W: 81, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Record_left_center_right: 32, }",0.08203768730163574
68,../blocksworld/blocksworld_from_22_0_2_to_9_12_3_negated_goal_bmc_30.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 420, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q_R_S_T_U_V_W_X: 90, Record_left_center_right: 35, }",0.10140180587768555
69,../blocksworld/blocksworld_from_14_0_3_to_12_4_1_negated_goal_bmc_7.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 132, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M_N_O_P_Q: 21, Record_left_center_right: 12, }",0.07544636726379395
70,../blocksworld/blocksworld_from_5_0_8_to_7_5_1_negated_goal_bmc_12.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 183, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 36, Record_left_center_right: 17, }",0.05034065246582031
71,../blocksworld/blocksworld_from_1_2_10_to_13_0_0_negated_goal_bmc_12.smt2,{'algaroba with pause based on depth': 'sat'},"{Tower: 183, Enum_left-to-center_left-to-right_center-to-left_center-to-right_right-to-left_right-to-center: 0, Enum_A_B_C_D_E_F_G_H_I_J_K_L_M: 36, Record_left_center_right: 17, }",0.05995488166809082
